Title,URL,Processed,Error,Whisper Transcription Time (MM:SS),Total Processing Time (MM:SS),Device
Jerma Streams - Steelrising,https://www.youtube.com/watch?v=4X5acKmaFUo,True,,0:04:41
Jerma Streams - SuchArt: Genius Artist Simulator,https://www.youtube.com/watch?v=E41rZH8weHo,True,,0:02:17
ERROR,https://www.youtube.com/watch?v=8fUWvAyEAzw,False,"ERROR: 
[download] Got error: <urlopen error [Errno -3] Temporary failure in name resolution>",0:00:12
Jerma Streams - Superliminal,https://www.youtube.com/watch?v=Vhi5LcL1GDk,True,,0:02:38
Jerma Streams - MythBusters: The Game - Crazy Experiments Simulator,https://www.youtube.com/watch?v=ACGObUNtt1c,True,,0:02:23
"Jerma Streams - Sorcery! (Part 5, 2nd Playthrough)",https://www.youtube.com/watch?v=bt8PSxgWgLw,True,,0:05:48
ERROR,https://www.youtube.com/watch?v=jnTgG0eIygc,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:23
Jerma Streams - PAC-MAN WORLD Re-PAC,https://www.youtube.com/watch?v=PWzXEFWyN-U,True,,0:04:24
Jerma Streams - 20 Minutes Till Dawn,https://www.youtube.com/watch?v=2NwnrkMjocw,True,,0:02:07
Jerma Streams - The Baseball Stream Behind the Scenes,https://www.youtube.com/watch?v=w5lhJGTD2pw,True,,0:03:49
ERROR,https://www.youtube.com/watch?v=anxUQC7HuGc,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:48
Jerma Streams - The Baseball Stream,https://www.youtube.com/watch?v=wae1lbb4njY,True,,0:05:21
ERROR,https://www.youtube.com/watch?v=XmG1QOWbb00,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:35
Jerma Streams - Two Point Campus,https://www.youtube.com/watch?v=hxo1M0PAerw,True,,0:04:29
Jerma Streams - Cult of the Lamb,https://www.youtube.com/watch?v=pvG0gMVQTEQ,True,,0:02:35
Jerma Streams - The Mortuary Assistant,https://www.youtube.com/watch?v=XraCzR9gSz0,True,,0:03:08
Jerma Streams - Call of Duty: Black Ops II Tournament,https://www.youtube.com/watch?v=ooEi629SH6Q,True,,0:03:28
Jerma Streams - MultiVersus (Part 4),https://www.youtube.com/watch?v=C2ij17Qpdao,True,,0:04:50
Jerma Streams - SimCasino,https://www.youtube.com/watch?v=WiFaB08zUJI,True,,0:04:36
"Jerma Streams - Sorcery! (Part 4, 2nd Playthrough)",https://www.youtube.com/watch?v=hwWuh9IJDDw,True,,0:06:30
"Jerma Streams - Sorcery! (Part 3, 2nd Playthrough)",https://www.youtube.com/watch?v=kF_CeGg6_k0,True,,0:06:25
Jerma Streams - MultiVersus (Part 3),https://www.youtube.com/watch?v=jhcg7AKcCpA,True,,0:02:59
